horizonte_minutos,horizonte_texto,variable,importancia
15,15 min,iaq_promedio,0.05131473086232117
15,15 min,iaq_lag_1,0.08818726220206943
15,15 min,iaq_lag_2,0.09806315274976314
15,15 min,iaq_lag_5,0.019931082737036844
15,15 min,iaq_ma_5,0.08632842736775648
15,15 min,iaq_trend_1,0.008693793895357906
15,15 min,iaq_trend_5,0.012370447127910335
15,15 min,eco2_promedio,0.15679094879699282
15,15 min,eco2_trend_1,0.0075331282601024206
15,15 min,voc_promedio,0.14689403753303756
15,15 min,voc_trend_1,0.00493854540488226
15,15 min,temperatura_promedio,0.06716702677823483
15,15 min,humedad_promedio,0.047924992020990986
15,15 min,gas_promedio,0.15226206233861447
15,15 min,eventos_minuto,0.0
15,15 min,sin_minuto_hora,0.007277903748478466
15,15 min,cos_minuto_hora,0.043598311236075674
15,15 min,sin_hora_dia,3.5065764406120843E-4
15,15 min,cos_hora_dia,3.7348929631413503E-4
30,30 min,iaq_promedio,0.11699982296179184
30,30 min,iaq_lag_1,0.1266743617617571
30,30 min,iaq_lag_2,0.0305374549424321
30,30 min,iaq_lag_5,0.023203647062917682
30,30 min,iaq_ma_5,0.0304115868096521
30,30 min,iaq_trend_1,0.0062721332991569735
30,30 min,iaq_trend_5,0.005664054983791197
30,30 min,eco2_promedio,0.12397484127140776
30,30 min,eco2_trend_1,0.004189478500241041
30,30 min,voc_promedio,0.14073544143801814
30,30 min,voc_trend_1,0.0038471498087993333
30,30 min,temperatura_promedio,0.10505884470190655
30,30 min,humedad_promedio,0.06181241276214045
30,30 min,gas_promedio,0.14976497442539155
30,30 min,eventos_minuto,0.0
30,30 min,sin_minuto_hora,0.01053551319552311
30,30 min,cos_minuto_hora,0.05890725731059114
30,30 min,sin_hora_dia,7.380724395839149E-4
30,30 min,cos_hora_dia,6.729523248980465E-4
60,1 h,iaq_promedio,0.17635595506058963
60,1 h,iaq_lag_1,0.055509736449222725
60,1 h,iaq_lag_2,0.03196480956429329
60,1 h,iaq_lag_5,0.008146082618550897
60,1 h,iaq_ma_5,0.025436635720036804
60,1 h,iaq_trend_1,0.02023001252658796
60,1 h,iaq_trend_5,0.020020404674937212
60,1 h,eco2_promedio,0.12058002798524521
60,1 h,eco2_trend_1,0.031789417817065596
60,1 h,voc_promedio,0.14064337023006868
60,1 h,voc_trend_1,0.007399819290289535
60,1 h,temperatura_promedio,0.07648258503093372
60,1 h,humedad_promedio,0.10398233548219152
60,1 h,gas_promedio,0.15531317246910467
60,1 h,eventos_minuto,0.0
60,1 h,sin_minuto_hora,0.011827631797132962
60,1 h,cos_minuto_hora,0.009623796300775325
60,1 h,sin_hora_dia,7.794755165886586E-4
60,1 h,cos_hora_dia,0.003914731466385597
